,Brand Name,Model Name,Price
109,Vivo,Vivo Y51,"Rs.8,990"
110,Vivo,Vivo Y15,"Rs.8,320"
111,Vivo,Vivo Y31L,"Rs.8,299"
112,Oppo,Oppo Find 7,"Rs.34,437"
113,Oppo,Oppo N1,"Rs.31,990"
114,Oppo,Oppo R7 Plus,"Rs.28,840"
115,Oppo,Oppo R5,"Rs.25,490"
116,Oppo,Oppo Find 7a,"Rs.24,990"
117,Oppo,Oppo F1 Plus,"Rs.22,999"
118,Oppo,Oppo F7,"Rs.19,599"
119,Oppo,Oppo N1 Mini,"Rs.17,750"
120,Oppo,Oppo F3 Plus,"Rs.16,990"
121,Oppo,Oppo F5,"Rs.16,641"
122,Oppo,Oppo F1,"Rs.15,999"
123,Oppo,Oppo Mirror 5,"Rs.15,158"
124,Oppo,Oppo F1s,"Rs.13,999"
125,Oppo,Oppo Find 5,"Rs.13,499"
126,Oppo,Oppo F5 Youth,"Rs.13,491"
127,Oppo,Oppo A83 (2018),"Rs.13,399"
128,Oppo,Oppo F3 ,"Rs.12,990"
129,Oppo,Oppo R7 Lite,"Rs.12,699"
130,Oppo,Oppo Mirror 3,"Rs.11,640"
131,Oppo,Oppo R1,"Rs.11,490"
132,Oppo,Oppo A83,"Rs.11,236"
133,Oppo,Oppo A57,"Rs.10,782"
134,Oppo,Oppo Neo 3,"Rs.9,290"
135,Oppo,Oppo A71,"Rs.9,152"
136,Oppo,Oppo Realme 1,"Rs.8,990"
137,Oppo,Oppo A37,"Rs.8,400"
138,Oppo,Oppo Neo 7,"Rs.7,581"
139,Oppo,Oppo Joy,"Rs.7,490"
140,Motorola,Motorola Moto Z2 Force,"Rs.34,999"
141,Motorola,Motorola Moto Turbo,"Rs.31,999"
142,Motorola,Motorola Razr Maxx,"Rs.28,944"
143,Motorola,Motorola Droid Turbo,"Rs.26,800"
144,Motorola,Motorola Moto Z Play,"Rs.24,999"
145,Motorola,Motorola Moto Z,"Rs.24,989"
146,Motorola,Motorola Moto X4,"Rs.20,999"
147,Motorola,Motorola Moto X Force,"Rs.20,999"
148,Motorola,Motorola Moto X,"Rs.20,792"
149,Motorola,Motorola Google Nexus 6,"Rs.19,999"
150,Motorola,Motorola Moto X Style,"Rs.19,990"
151,Motorola,Motorola Moto X (Gen 2),"Rs.17,999"
152,Motorola,Motorola Droid Ultra,"Rs.17,800"
153,Motorola,Motorola Moto Z2 Play,"Rs.15,982"
154,Motorola,Motorola Atrix 2,"Rs.15,410"
155,Motorola,Motorola Moto G6,"Rs.13,999"
156,Motorola,Motorola Defy Plus,"Rs.13,216"
157,Motorola,Motorola Moto G5S Plus,"Rs.12,999"
158,Motorola,Motorola Moto G4,"Rs.12,990"
159,Motorola,Motorola Defy XT,"Rs.12,329"
160,Motorola,Motorola Moto G6 Play,"Rs.12,319"
161,Motorola,Motorola Moto G5 Plus,"Rs.12,249"
162,Motorola,Motorola Moto G (Gen 3),"Rs.10,990"
163,Motorola,Motorola Defy Mini,"Rs.10,544"
164,Motorola,Motorola Moto G4 Plus,"Rs.9,999"
165,Motorola,Motorola Moto G,"Rs.9,999"
166,Motorola,Motorola Moto M,"Rs.9,449"
167,Motorola,Motorola Moto G4 Play,"Rs.8,999"
